"","CN","STATECD","COUNTYCD","PLOT","LAT","LON","TREE","MEASYEAR","STATUSCD","SPCD","DIA","MEASYEAR.1","STATUSCD.1","SPCD.1","DIA.1","Temp","Seas","Prec","UN"
"200",1.68998e+14,42,87,43,40.81252,-77.44408,13,2005,1,833,16.8,2010,1,833,17.6,87,8891,1077,19
"201",1.62646e+13,42,87,4458,40.454439,-77.677819,22,2008,1,316,6.2,2013,1,316,6.2,92,8846,1043,20
"202",1.62646e+13,42,87,4458,40.454439,-77.677819,27,2008,1,832,18.1,2013,1,832,18.6,92,8846,1043,20
"203",1.62646e+13,42,87,4458,40.454439,-77.677819,1,2008,1,316,7.9,2013,1,316,7.9,92,8846,1043,20
"204",1.62646e+13,42,87,4458,40.454439,-77.677819,3,2008,1,833,8.2,2013,1,833,8.6,92,8846,1043,20
"205",1.62646e+13,42,87,4458,40.454439,-77.677819,4,2008,1,316,7.7,2013,1,316,7.9,92,8846,1043,20
"206",1.62646e+13,42,87,4458,40.454439,-77.677819,6,2008,1,832,23.3,2013,1,832,24.3,92,8846,1043,20
"207",1.62646e+13,42,87,4458,40.454439,-77.677819,7,2008,1,316,5.1,2013,1,316,5.3,92,8846,1043,20
"208",1.68998e+14,42,87,43,40.81252,-77.44408,14,2005,1,316,5.1,2010,1,316,5,87,8891,1077,19
"209",1.68998e+14,42,87,43,40.81252,-77.44408,15,2005,1,371,5,2010,1,371,5.1,87,8891,1077,19
"210",1.68998e+14,42,87,43,40.81252,-77.44408,3,2005,1,372,6.7,2010,1,372,7,87,8891,1077,19
"211",1.68998e+14,42,87,43,40.81252,-77.44408,4,2005,1,372,12.2,2010,1,372,12.5,87,8891,1077,19
"212",1.68998e+14,42,87,43,40.81252,-77.44408,5,2005,1,372,5.7,2010,1,372,5.8,87,8891,1077,19
"213",1.68998e+14,42,87,43,40.81252,-77.44408,6,2005,1,832,5.8,2010,1,832,6,87,8891,1077,19
"214",1.68998e+14,42,87,43,40.81252,-77.44408,8,2005,1,832,10.4,2010,1,832,10.5,87,8891,1077,19
"215",1.68998e+14,42,87,43,40.81252,-77.44408,9,2005,1,316,6.5,2010,1,316,6.5,87,8891,1077,19
"216",1.68998e+14,42,87,43,40.81252,-77.44408,10,2005,1,129,6.7,2010,1,129,7.3,87,8891,1077,19
"217",1.68998e+14,42,87,43,40.81252,-77.44408,11,2005,1,261,7.2,2010,1,261,8.1,87,8891,1077,19
"218",1.68998e+14,42,87,43,40.81252,-77.44408,1,2005,1,372,6.5,2010,1,372,7,87,8891,1077,19
"219",1.68998e+14,42,87,43,40.81252,-77.44408,2,2005,1,372,14.6,2010,1,372,14.6,87,8891,1077,19
"220",1.68998e+14,42,87,43,40.81252,-77.44408,4,2005,1,372,16.3,2010,1,372,16.6,87,8891,1077,19
"221",1.68998e+14,42,87,43,40.81252,-77.44408,6,2005,1,693,7.1,2010,1,693,7.5,87,8891,1077,19
"222",1.68997e+14,42,87,1104,40.51806,-77.61305,2,2005,1,832,9,2010,1,832,9.6,95,8885,1037,21
"223",1.68997e+14,42,87,1104,40.51806,-77.61305,3,2005,1,832,6.2,2010,1,832,6.3,95,8885,1037,21
"224",1.68997e+14,42,87,1104,40.51806,-77.61305,4,2005,1,832,14.3,2010,1,832,14.3,95,8885,1037,21
"225",1.68997e+14,42,87,1104,40.51806,-77.61305,5,2005,1,316,5.3,2010,1,316,5.6,95,8885,1037,21
"226",1.68997e+14,42,87,1104,40.51806,-77.61305,7,2005,1,693,5.1,2010,1,693,5.8,95,8885,1037,21
"227",1.68997e+14,42,87,1104,40.51806,-77.61305,1,2005,1,693,4.9,2010,1,693,5.1,95,8885,1037,21
"228",1.68997e+14,42,87,1104,40.51806,-77.61305,6,2005,1,832,22.5,2010,1,832,22.8,95,8885,1037,21
"229",1.68997e+14,42,87,1104,40.51806,-77.61305,1,2005,1,693,6,2010,1,693,6.6,95,8885,1037,21
"230",1.62646e+13,42,87,4458,40.454439,-77.677819,3,2008,1,837,20.8,2013,1,837,21.4,92,8846,1043,20
"231",1.62646e+13,42,87,4458,40.454439,-77.677819,6,2008,1,316,9.8,2013,1,316,10,92,8846,1043,20
"232",1.62646e+13,42,87,4458,40.454439,-77.677819,7,2008,1,316,12.9,2013,1,316,13.5,92,8846,1043,20
"233",1.62646e+13,42,87,4458,40.454439,-77.677819,2,2008,1,316,6.2,2013,1,316,6.2,92,8846,1043,20
"234",1.62646e+13,42,87,4458,40.454439,-77.677819,4,2008,1,316,6.6,2013,1,316,6.7,92,8846,1043,20
"235",1.62652e+13,42,87,4541,40.386668,-77.789041,5,2008,1,316,16.3,2013,1,316,17.7,93,8827,1029,9
"236",1.62652e+13,42,87,4541,40.386668,-77.789041,6,2008,1,833,8.3,2013,1,833,9,93,8827,1029,9
"237",1.62652e+13,42,87,4541,40.386668,-77.789041,9,2008,1,832,21.9,2013,1,832,22.8,93,8827,1029,9
"238",1.62652e+13,42,87,4541,40.386668,-77.789041,5,2008,1,372,4.5,2013,1,372,5.3,93,8827,1029,9
"239",1.62652e+13,42,87,4541,40.386668,-77.789041,9,2008,1,316,8.1,2013,1,316,8.6,93,8827,1029,9
"240",1.68997e+14,42,87,1104,40.51806,-77.61305,2,2005,1,693,6.5,2010,1,693,7.1,95,8885,1037,21
"241",1.68997e+14,42,87,1104,40.51806,-77.61305,1,2005,1,832,10,2010,1,832,10.4,95,8885,1037,21
"242",1.68997e+14,42,87,1104,40.51806,-77.61305,2,2005,1,832,10.4,2010,1,832,10.8,95,8885,1037,21
"243",1.68997e+14,42,87,1104,40.51806,-77.61305,5,2005,1,806,11.4,2010,1,806,11.8,95,8885,1037,21
"244",1.68997e+14,42,87,1104,40.51806,-77.61305,6,2005,1,832,8.5,2010,1,832,8.7,95,8885,1037,21
"245",1.68997e+14,42,87,1488,40.66582,-77.53236,3,2005,1,372,10.1,2010,1,372,10.5,103,8936,1010,11
"246",1.68997e+14,42,87,1488,40.66582,-77.53236,4,2005,1,316,8.5,2010,1,316,8.7,103,8936,1010,11
"247",1.68997e+14,42,87,1488,40.66582,-77.53236,5,2005,1,832,8,2010,1,832,8.1,103,8936,1010,11
"248",1.68997e+14,42,87,1488,40.66582,-77.53236,6,2005,1,832,14.3,2010,1,832,15.1,103,8936,1010,11
"249",1.68997e+14,42,87,1488,40.66582,-77.53236,7,2005,1,316,6.7,2010,1,316,6.9,103,8936,1010,11
"250",1.68997e+14,42,87,1488,40.66582,-77.53236,8,2005,1,832,9.1,2010,1,832,9.5,103,8936,1010,11
"251",1.68997e+14,42,87,1488,40.66582,-77.53236,9,2005,1,832,10.7,2010,1,832,11.1,103,8936,1010,11
